x,y,vx,vx,Paddle.y
959,94,-2,-2,275
957,92,-2,-2,275
955,90,-2,-2,277
953,88,-2,-2,277
951,86,-2,-2,277
949,84,-2,-2,278
947,82,-2,-2,278
945,80,-2,-2,280
943,78,-2,-2,281
941,76,-2,-2,281
939,74,-2,-2,281
937,72,-2,-2,283
935,70,-2,-2,283
933,68,-2,-2,283
931,66,-2,-2,285
929,64,-2,-2,285
927,62,-2,-2,287
925,60,-2,-2,287
923,58,-2,-2,287
921,56,-2,-2,287
919,54,-2,-2,287
917,52,-2,-2,289
915,50,-2,-2,289
913,48,-2,-2,289
911,46,-2,-2,290
909,44,-2,-2,290
907,42,-2,-2,290
905,40,-2,-2,290
903,38,-2,-2,290
901,36,-2,-2,292
899,38,-2,2,292
897,40,-2,2,292
895,42,-2,2,293
893,44,-2,2,293
891,46,-2,2,295
889,48,-2,2,295
887,50,-2,2,295
885,52,-2,2,298
883,54,-2,2,298
881,56,-2,2,298
879,58,-2,2,299
877,60,-2,2,299
875,62,-2,2,300
873,64,-2,2,300
871,66,-2,2,300
869,68,-2,2,302
867,70,-2,2,302
865,72,-2,2,304
863,74,-2,2,304
861,76,-2,2,304
859,78,-2,2,307
857,80,-2,2,307
855,82,-2,2,307
853,84,-2,2,311
851,86,-2,2,311
849,88,-2,2,315
847,90,-2,2,315
845,92,-2,2,315
843,94,-2,2,318
841,96,-2,2,318
839,98,-2,2,320
837,100,-2,2,320
835,102,-2,2,320
833,104,-2,2,324
831,106,-2,2,324
829,108,-2,2,324
827,110,-2,2,326
825,112,-2,2,326
823,114,-2,2,330
821,116,-2,2,330
819,118,-2,2,330
817,120,-2,2,333
815,122,-2,2,333
813,124,-2,2,333
811,126,-2,2,339
809,128,-2,2,339
807,130,-2,2,343
805,132,-2,2,343
803,134,-2,2,343
801,136,-2,2,348
799,138,-2,2,348
797,140,-2,2,348
795,142,-2,2,354
793,144,-2,2,354
791,146,-2,2,357
789,148,-2,2,357
787,150,-2,2,357
785,152,-2,2,360
783,154,-2,2,360
781,156,-2,2,360
779,158,-2,2,363
777,160,-2,2,363
775,162,-2,2,363
773,164,-2,2,369
771,166,-2,2,369
769,168,-2,2,373
767,170,-2,2,373
765,172,-2,2,373
763,174,-2,2,378
761,176,-2,2,378
759,178,-2,2,378
757,180,-2,2,381
755,182,-2,2,381
753,184,-2,2,384
751,186,-2,2,384
749,188,-2,2,384
747,190,-2,2,385
745,192,-2,2,385
743,194,-2,2,388
741,196,-2,2,388
739,198,-2,2,388
737,200,-2,2,391
735,202,-2,2,391
733,204,-2,2,391
731,206,-2,2,394
729,208,-2,2,394
727,210,-2,2,396
725,212,-2,2,396
723,214,-2,2,396
721,216,-2,2,396
719,218,-2,2,396
717,220,-2,2,396
715,222,-2,2,399
713,224,-2,2,399
711,226,-2,2,400
709,228,-2,2,400
707,230,-2,2,400
705,232,-2,2,401
703,234,-2,2,401
701,236,-2,2,401
699,238,-2,2,402
697,240,-2,2,402
695,242,-2,2,403
693,244,-2,2,403
691,246,-2,2,403
689,248,-2,2,403
687,250,-2,2,403
685,252,-2,2,403
683,254,-2,2,404
681,256,-2,2,404
679,258,-2,2,404
677,260,-2,2,404
675,262,-2,2,404
673,264,-2,2,405
671,266,-2,2,405
669,268,-2,2,405
667,270,-2,2,406
665,272,-2,2,406
663,274,-2,2,406
661,276,-2,2,406
659,278,-2,2,406
657,280,-2,2,406
655,282,-2,2,406
653,284,-2,2,406
651,286,-2,2,406
649,288,-2,2,406
647,290,-2,2,406
645,292,-2,2,406
643,294,-2,2,406
641,296,-2,2,406
639,298,-2,2,406
637,300,-2,2,406
635,302,-2,2,406
633,304,-2,2,406
631,306,-2,2,406
629,308,-2,2,406
627,310,-2,2,406
625,312,-2,2,406
623,314,-2,2,406
621,316,-2,2,406
619,318,-2,2,406
617,320,-2,2,406
615,322,-2,2,406
613,324,-2,2,406
611,326,-2,2,406
609,328,-2,2,406
607,330,-2,2,406
605,332,-2,2,406
603,334,-2,2,406
601,336,-2,2,406
599,338,-2,2,406
597,340,-2,2,406
595,342,-2,2,406
593,344,-2,2,406
591,346,-2,2,406
589,348,-2,2,406
587,350,-2,2,406
585,352,-2,2,406
583,354,-2,2,406
581,356,-2,2,406
579,358,-2,2,406
577,360,-2,2,406
575,362,-2,2,406
573,364,-2,2,406
571,366,-2,2,406
569,368,-2,2,406
567,370,-2,2,406
565,372,-2,2,406
563,374,-2,2,406
561,376,-2,2,406
559,378,-2,2,406
557,380,-2,2,406
555,382,-2,2,406
553,384,-2,2,406
551,386,-2,2,406
549,388,-2,2,406
547,390,-2,2,406
545,392,-2,2,406
543,394,-2,2,406
541,396,-2,2,406
539,398,-2,2,406
537,400,-2,2,406
535,402,-2,2,406
533,404,-2,2,406
531,406,-2,2,406
529,408,-2,2,406
527,410,-2,2,406
525,412,-2,2,406
523,414,-2,2,406
521,416,-2,2,406
519,418,-2,2,406
517,420,-2,2,406
515,422,-2,2,406
513,424,-2,2,406
511,426,-2,2,406
509,428,-2,2,406
507,430,-2,2,406
505,432,-2,2,406
503,434,-2,2,406
501,436,-2,2,406
499,438,-2,2,406
497,440,-2,2,406
495,442,-2,2,406
493,444,-2,2,406
491,446,-2,2,406
489,448,-2,2,406
487,450,-2,2,406
485,452,-2,2,406
483,454,-2,2,406
481,456,-2,2,406
479,458,-2,2,406
477,460,-2,2,406
475,462,-2,2,406
473,464,-2,2,406
471,466,-2,2,406
469,468,-2,2,406
467,470,-2,2,406
465,472,-2,2,406
463,474,-2,2,406
461,476,-2,2,406
459,478,-2,2,406
457,480,-2,2,406
455,482,-2,2,406
453,484,-2,2,406
451,486,-2,2,406
449,488,-2,2,406
447,490,-2,2,406
445,492,-2,2,406
443,494,-2,2,406
441,496,-2,2,406
439,498,-2,2,406
437,500,-2,2,406
435,502,-2,2,406
433,504,-2,2,406
431,506,-2,2,406
429,508,-2,2,406
427,510,-2,2,406
425,512,-2,2,406
423,514,-2,2,406
421,516,-2,2,406
419,518,-2,2,406
417,520,-2,2,407
415,522,-2,2,407
413,524,-2,2,407
411,526,-2,2,408
409,528,-2,2,408
407,530,-2,2,408
405,532,-2,2,408
403,534,-2,2,408
401,536,-2,2,408
399,538,-2,2,408
397,540,-2,2,408
395,542,-2,2,408
393,544,-2,2,408
391,546,-2,2,408
389,548,-2,2,408
387,550,-2,2,408
385,552,-2,2,408
383,554,-2,2,408
381,556,-2,2,408
379,558,-2,2,408
377,560,-2,2,408
375,562,-2,2,408
373,564,-2,2,408
371,562,-2,-2,408
369,560,-2,-2,408
367,558,-2,-2,408
365,556,-2,-2,408
363,554,-2,-2,408
361,552,-2,-2,408
359,550,-2,-2,408
357,548,-2,-2,408
355,546,-2,-2,408
353,544,-2,-2,408
351,542,-2,-2,408
349,540,-2,-2,408
347,538,-2,-2,408
345,536,-2,-2,408
343,534,-2,-2,408
341,532,-2,-2,408
339,530,-2,-2,408
337,528,-2,-2,408
335,526,-2,-2,408
333,524,-2,-2,408
331,522,-2,-2,408
329,520,-2,-2,408
327,518,-2,-2,408
325,516,-2,-2,408
323,514,-2,-2,408
321,512,-2,-2,408
319,510,-2,-2,408
317,508,-2,-2,408
315,506,-2,-2,408
313,504,-2,-2,408
311,502,-2,-2,408
309,500,-2,-2,408
307,498,-2,-2,408
305,496,-2,-2,408
303,494,-2,-2,408
301,492,-2,-2,408
299,490,-2,-2,408
297,488,-2,-2,408
295,486,-2,-2,408
293,484,-2,-2,408
291,482,-2,-2,408
289,480,-2,-2,408
287,478,-2,-2,408
285,476,-2,-2,408
283,474,-2,-2,408
281,472,-2,-2,408
279,470,-2,-2,408
277,468,-2,-2,408
275,466,-2,-2,408
273,464,-2,-2,408
271,462,-2,-2,408
269,460,-2,-2,408
267,458,-2,-2,408
265,456,-2,-2,408
263,454,-2,-2,408
261,452,-2,-2,408
259,450,-2,-2,408
257,448,-2,-2,408
255,446,-2,-2,408
253,444,-2,-2,408
251,442,-2,-2,408
249,440,-2,-2,408
247,438,-2,-2,408
245,436,-2,-2,408
243,434,-2,-2,408
241,432,-2,-2,408
239,430,-2,-2,408
237,428,-2,-2,408
235,426,-2,-2,408
233,424,-2,-2,408
231,422,-2,-2,408
229,420,-2,-2,408
227,418,-2,-2,408
225,416,-2,-2,408
223,414,-2,-2,408
221,412,-2,-2,408
219,410,-2,-2,408
217,408,-2,-2,408
215,406,-2,-2,408
213,404,-2,-2,408
211,402,-2,-2,408
209,400,-2,-2,408
207,398,-2,-2,408
205,396,-2,-2,408
203,394,-2,-2,408
201,392,-2,-2,408
199,390,-2,-2,408
197,388,-2,-2,408
195,386,-2,-2,408
193,384,-2,-2,408
191,382,-2,-2,408
189,380,-2,-2,408
187,378,-2,-2,408
185,376,-2,-2,408
183,374,-2,-2,408
181,372,-2,-2,408
179,370,-2,-2,408
177,368,-2,-2,408
175,366,-2,-2,408
173,364,-2,-2,408
171,362,-2,-2,408
169,360,-2,-2,408
167,358,-2,-2,408
165,356,-2,-2,408
163,354,-2,-2,408
161,352,-2,-2,408
159,350,-2,-2,408
157,348,-2,-2,408
155,346,-2,-2,408
153,344,-2,-2,408
151,342,-2,-2,408
149,340,-2,-2,408
147,338,-2,-2,408
145,336,-2,-2,408
143,334,-2,-2,408
141,332,-2,-2,408
139,330,-2,-2,408
137,328,-2,-2,408
135,326,-2,-2,408
133,324,-2,-2,408
131,322,-2,-2,408
129,320,-2,-2,408
127,318,-2,-2,408
125,316,-2,-2,408
123,314,-2,-2,408
121,312,-2,-2,408
119,310,-2,-2,408
117,308,-2,-2,408
115,306,-2,-2,408
113,304,-2,-2,408
111,302,-2,-2,408
109,300,-2,-2,408
107,298,-2,-2,408
105,296,-2,-2,408
103,294,-2,-2,408
101,292,-2,-2,408
99,290,-2,-2,408
97,288,-2,-2,408
95,286,-2,-2,408
93,284,-2,-2,408
91,282,-2,-2,408
89,280,-2,-2,408
87,278,-2,-2,408
85,276,-2,-2,408
83,274,-2,-2,408
81,272,-2,-2,408
79,270,-2,-2,408
77,268,-2,-2,408
75,266,-2,-2,408
73,264,-2,-2,408
71,262,-2,-2,408
69,260,-2,-2,408
67,258,-2,-2,408
65,256,-2,-2,408
63,254,-2,-2,408
61,252,-2,-2,408
59,250,-2,-2,408
57,248,-2,-2,408
55,246,-2,-2,408
53,244,-2,-2,408
51,242,-2,-2,408
49,240,-2,-2,408
47,238,-2,-2,408
45,236,-2,-2,408
43,234,-2,-2,408
41,232,-2,-2,408
39,230,-2,-2,408
37,228,-2,-2,408
35,226,-2,-2,408
37,224,2,-2,408
39,222,2,-2,408
41,220,2,-2,408
43,218,2,-2,408
45,216,2,-2,408
47,214,2,-2,408
49,212,2,-2,408
51,210,2,-2,408
53,208,2,-2,408
55,206,2,-2,408
57,204,2,-2,408
59,202,2,-2,408
61,200,2,-2,408
63,198,2,-2,408
65,196,2,-2,408
67,194,2,-2,408
69,192,2,-2,408
71,190,2,-2,408
73,188,2,-2,408
75,186,2,-2,408
77,184,2,-2,408
79,182,2,-2,408
81,180,2,-2,408
83,178,2,-2,408
85,176,2,-2,408
87,174,2,-2,408
89,172,2,-2,408
91,170,2,-2,408
93,168,2,-2,408
95,166,2,-2,408
97,164,2,-2,408
99,162,2,-2,408
101,160,2,-2,408
103,158,2,-2,408
105,156,2,-2,408
107,154,2,-2,408
109,152,2,-2,408
111,150,2,-2,408
113,148,2,-2,408
115,146,2,-2,408
117,144,2,-2,408
119,142,2,-2,408
121,140,2,-2,408
123,138,2,-2,408
125,136,2,-2,408
127,134,2,-2,408
129,132,2,-2,408
131,130,2,-2,408
133,128,2,-2,408
135,126,2,-2,408
137,124,2,-2,408
139,122,2,-2,408
141,120,2,-2,408
143,118,2,-2,408
145,116,2,-2,408
147,114,2,-2,408
149,112,2,-2,408
151,110,2,-2,408
153,108,2,-2,408
155,106,2,-2,408
157,104,2,-2,408
159,102,2,-2,408
161,100,2,-2,408
163,98,2,-2,408
165,96,2,-2,408
167,94,2,-2,408
169,92,2,-2,408
171,90,2,-2,408
173,88,2,-2,408
175,86,2,-2,408
177,84,2,-2,408
179,82,2,-2,408
181,80,2,-2,408
183,78,2,-2,408
185,76,2,-2,408
187,74,2,-2,408
189,72,2,-2,408
191,70,2,-2,408
193,68,2,-2,408
195,66,2,-2,408
197,64,2,-2,408
199,62,2,-2,408
201,60,2,-2,408
203,58,2,-2,408
205,56,2,-2,408
207,54,2,-2,408
209,52,2,-2,408
211,50,2,-2,408
213,48,2,-2,408
215,46,2,-2,408
217,44,2,-2,408
219,42,2,-2,408
221,40,2,-2,408
223,38,2,-2,408
225,36,2,-2,408
227,38,2,2,408
229,40,2,2,408
231,42,2,2,408
233,44,2,2,408
235,46,2,2,408
237,48,2,2,408
239,50,2,2,408
241,52,2,2,408
243,54,2,2,408
245,56,2,2,408
247,58,2,2,408
249,60,2,2,408
251,62,2,2,408
253,64,2,2,408
255,66,2,2,408
257,68,2,2,408
259,70,2,2,408
261,72,2,2,408
263,74,2,2,408
265,76,2,2,408
267,78,2,2,408
269,80,2,2,408
271,82,2,2,408
273,84,2,2,408
275,86,2,2,408
277,88,2,2,408
279,90,2,2,408
281,92,2,2,408
283,94,2,2,408
285,96,2,2,408
287,98,2,2,408
289,100,2,2,408
291,102,2,2,408
293,104,2,2,408
295,106,2,2,408
297,108,2,2,408
299,110,2,2,408
301,112,2,2,408
303,114,2,2,408
305,116,2,2,408
307,118,2,2,408
309,120,2,2,408
311,122,2,2,408
313,124,2,2,408
315,126,2,2,408
317,128,2,2,408
319,130,2,2,408
321,132,2,2,408
323,134,2,2,408
325,136,2,2,408
327,138,2,2,408
329,140,2,2,408
331,142,2,2,408
333,144,2,2,408
335,146,2,2,408
337,148,2,2,408
339,150,2,2,408
341,152,2,2,408
343,154,2,2,408
345,156,2,2,408
347,158,2,2,408
349,160,2,2,408
351,162,2,2,408
353,164,2,2,408
355,166,2,2,408
357,168,2,2,408
359,170,2,2,408
361,172,2,2,408
363,174,2,2,408
365,176,2,2,408
367,178,2,2,408
369,180,2,2,408
371,182,2,2,408
373,184,2,2,408
375,186,2,2,408
377,188,2,2,408
379,190,2,2,408
381,192,2,2,408
383,194,2,2,408
385,196,2,2,408
387,198,2,2,408
389,200,2,2,408
391,202,2,2,408
393,204,2,2,408
395,206,2,2,408
397,208,2,2,408
399,210,2,2,408
401,212,2,2,408
403,214,2,2,408
405,216,2,2,408
407,218,2,2,408
409,220,2,2,408
411,222,2,2,408
413,224,2,2,408
415,226,2,2,408
417,228,2,2,408
419,230,2,2,408
421,232,2,2,408
423,234,2,2,408
425,236,2,2,408
427,238,2,2,408
429,240,2,2,408
431,242,2,2,408
433,244,2,2,408
435,246,2,2,408
437,248,2,2,408
439,250,2,2,408
441,252,2,2,408
443,254,2,2,408
445,256,2,2,408
447,258,2,2,408
449,260,2,2,408
451,262,2,2,408
453,264,2,2,408
455,266,2,2,408
457,268,2,2,408
459,270,2,2,408
461,272,2,2,408
463,274,2,2,408
465,276,2,2,408
467,278,2,2,408
469,280,2,2,408
471,282,2,2,408
473,284,2,2,408
475,286,2,2,408
477,288,2,2,408
479,290,2,2,408
481,292,2,2,408
483,294,2,2,408
485,296,2,2,408
487,298,2,2,408
489,300,2,2,408
491,302,2,2,408
493,304,2,2,408
495,306,2,2,408
497,308,2,2,408
499,310,2,2,408
501,312,2,2,408
503,314,2,2,408
505,316,2,2,408
507,318,2,2,408
509,320,2,2,408
511,322,2,2,408
513,324,2,2,408
515,326,2,2,408
517,328,2,2,408
519,330,2,2,408
521,332,2,2,408
523,334,2,2,408
525,336,2,2,408
527,338,2,2,408
529,340,2,2,408
531,342,2,2,408
533,344,2,2,408
535,346,2,2,408
537,348,2,2,408
539,350,2,2,408
541,352,2,2,408
543,354,2,2,408
545,356,2,2,408
547,358,2,2,408
549,360,2,2,408
551,362,2,2,408
553,364,2,2,408
555,366,2,2,409
557,368,2,2,409
559,370,2,2,409
561,372,2,2,410
563,374,2,2,410
565,376,2,2,410
567,378,2,2,410
569,380,2,2,410
571,382,2,2,410
573,384,2,2,410
575,386,2,2,410
577,388,2,2,410
579,390,2,2,410
581,392,2,2,410
583,394,2,2,410
585,396,2,2,410
587,398,2,2,410
589,400,2,2,410
591,402,2,2,410
593,404,2,2,410
595,406,2,2,410
597,408,2,2,410
599,410,2,2,409
601,412,2,2,409
603,414,2,2,409
605,416,2,2,408
607,418,2,2,408
609,420,2,2,406
611,422,2,2,406
613,424,2,2,406
615,426,2,2,404
617,428,2,2,404
619,430,2,2,404
621,432,2,2,401
623,434,2,2,401
625,436,2,2,401
627,438,2,2,398
629,440,2,2,398
631,442,2,2,396
633,444,2,2,396
635,446,2,2,395
637,448,2,2,395
639,450,2,2,392
641,452,2,2,392
643,454,2,2,392
645,456,2,2,392
647,458,2,2,389
649,460,2,2,389
651,462,2,2,387
653,464,2,2,387
655,466,2,2,387
657,468,2,2,387
659,470,2,2,386
661,472,2,2,386
663,474,2,2,384
665,476,2,2,384
667,478,2,2,383
669,480,2,2,383
671,482,2,2,381
673,484,2,2,381
675,486,2,2,380
677,488,2,2,380
679,490,2,2,378
681,492,2,2,378
683,494,2,2,377
685,496,2,2,377
687,498,2,2,375
689,500,2,2,375
691,502,2,2,373
693,504,2,2,373
695,506,2,2,372
697,508,2,2,372
699,510,2,2,371
701,512,2,2,371
703,514,2,2,368
705,516,2,2,368
707,518,2,2,366
709,520,2,2,366
711,522,2,2,365
713,524,2,2,365
715,526,2,2,364
717,528,2,2,364
719,530,2,2,362
721,532,2,2,362
723,534,2,2,361
725,536,2,2,361
727,538,2,2,359
729,540,2,2,359
731,542,2,2,356
733,544,2,2,356
735,546,2,2,354
737,548,2,2,354
739,550,2,2,353
741,552,2,2,353
743,554,2,2,351
745,556,2,2,351
747,558,2,2,351
749,560,2,2,350
751,562,2,2,350
753,564,2,2,348
755,562,2,-2,348
757,560,2,-2,347
759,558,2,-2,347
761,556,2,-2,345
763,554,2,-2,345
765,552,2,-2,344
767,550,2,-2,344
769,548,2,-2,342
771,546,2,-2,342
773,544,2,-2,341
775,542,2,-2,341
777,540,2,-2,339
779,538,2,-2,339
781,536,2,-2,336
783,534,2,-2,336
785,532,2,-2,336
787,530,2,-2,334
789,528,2,-2,334
791,526,2,-2,332
793,524,2,-2,332
795,522,2,-2,332
797,520,2,-2,330
799,518,2,-2,330
801,516,2,-2,330
803,514,2,-2,329
805,512,2,-2,329
807,510,2,-2,326
809,508,2,-2,326
811,506,2,-2,326
813,504,2,-2,324
815,502,2,-2,324
817,500,2,-2,323
819,498,2,-2,323
821,496,2,-2,323
823,494,2,-2,321
825,492,2,-2,321
827,490,2,-2,321
829,488,2,-2,320
831,486,2,-2,320
833,484,2,-2,318
835,482,2,-2,318
837,480,2,-2,318
839,478,2,-2,317
841,476,2,-2,317
843,474,2,-2,315
845,472,2,-2,315
847,470,2,-2,315
849,468,2,-2,315
851,466,2,-2,315
853,464,2,-2,315
855,462,2,-2,313
857,460,2,-2,313
859,458,2,-2,312
861,456,2,-2,312
863,454,2,-2,312
865,452,2,-2,311
867,450,2,-2,311
869,448,2,-2,311
871,446,2,-2,310
873,444,2,-2,310
875,442,2,-2,308
877,440,2,-2,308
879,438,2,-2,308
881,436,2,-2,306
883,434,2,-2,306
885,432,2,-2,304
887,430,2,-2,304
889,428,2,-2,304
891,426,2,-2,303
893,424,2,-2,303
895,422,2,-2,303
897,420,2,-2,301
899,418,2,-2,301
901,416,2,-2,300
903,414,2,-2,300
905,412,2,-2,300
907,410,2,-2,298
909,408,2,-2,298
911,406,2,-2,297
913,404,2,-2,297
915,402,2,-2,297
917,400,2,-2,295
919,398,2,-2,295
921,396,2,-2,294
923,394,2,-2,294
925,392,2,-2,294
927,390,2,-2,292
929,388,2,-2,292
931,386,2,-2,292
933,384,2,-2,291
935,382,2,-2,291
937,380,2,-2,290
939,378,2,-2,290
941,376,2,-2,290
943,374,2,-2,288
945,372,2,-2,288
947,370,2,-2,288
949,368,2,-2,288
951,366,2,-2,288
953,364,2,-2,286
955,362,2,-2,286
957,360,2,-2,286
959,358,2,-2,284
961,356,2,-2,284
963,354,2,-2,282
965,352,2,-2,282
967,350,2,-2,282
969,348,2,-2,280
971,346,2,-2,280
973,344,2,-2,279
975,342,2,-2,279
977,340,2,-2,279
979,338,2,-2,277
981,336,2,-2,277
983,334,2,-2,277
985,332,2,-2,276
987,330,2,-2,276
989,328,2,-2,273
991,326,2,-2,273
993,324,2,-2,273
995,322,2,-2,271
997,320,2,-2,271
999,318,2,-2,270
1001,316,2,-2,270
1003,314,2,-2,270
1005,312,2,-2,268
1007,310,2,-2,268
1009,308,2,-2,268
1011,306,2,-2,267
1013,304,2,-2,267
1015,302,2,-2,264
1017,300,2,-2,264
1019,298,2,-2,264
1021,296,2,-2,262
1023,294,2,-2,262
1025,292,2,-2,260
1027,290,2,-2,260
1029,288,2,-2,260
1031,286,2,-2,258
1033,284,2,-2,258
1035,282,2,-2,258
1037,280,2,-2,255
1039,278,2,-2,255
1041,276,2,-2,252
1043,274,2,-2,252
1045,272,2,-2,252
1047,270,2,-2,249
1049,268,2,-2,249
1051,266,2,-2,244
1053,264,2,-2,244
1055,262,2,-2,244
1057,260,2,-2,240
1059,258,2,-2,240
1061,256,2,-2,240
1063,254,2,-2,237
1065,252,2,-2,237
1067,250,2,-2,234
1069,248,2,-2,234
1071,246,2,-2,234
1073,244,2,-2,231
1075,242,2,-2,231
1077,240,2,-2,228
1079,238,2,-2,228
1081,236,2,-2,228
1083,234,2,-2,225
1085,232,2,-2,225
1087,230,2,-2,225
1089,228,2,-2,222
1091,226,2,-2,222
1093,224,2,-2,219
1095,222,2,-2,219
1097,220,2,-2,219
1099,218,2,-2,216
1101,216,2,-2,216
1103,214,2,-2,213
1105,212,2,-2,213
1107,210,2,-2,213
1109,208,2,-2,208
1111,206,2,-2,208
1113,204,2,-2,208
1115,202,2,-2,205
1117,200,2,-2,205
1119,198,2,-2,202
1121,196,2,-2,202
1123,194,2,-2,202
1125,192,2,-2,200
1127,190,2,-2,200
1129,188,2,-2,196
1131,186,2,-2,196
1133,184,2,-2,196
1135,182,2,-2,193
1137,180,2,-2,193
1139,178,2,-2,193
1141,176,2,-2,191
1143,174,2,-2,191
1145,172,2,-2,188
1147,170,2,-2,188
1149,168,2,-2,188
1151,166,2,-2,185
1153,164,2,-2,185
1155,162,2,-2,184
1157,160,2,-2,184
1159,158,2,-2,184
1161,156,2,-2,182
1163,154,2,-2,182
1161,152,-2,-2,182
1159,150,-2,-2,181
1157,148,-2,-2,181
1155,146,-2,-2,178
1153,144,-2,-2,178
1151,142,-2,-2,178
1149,140,-2,-2,176
1147,138,-2,-2,176
1145,136,-2,-2,173
1143,134,-2,-2,173
1141,132,-2,-2,173
1139,130,-2,-2,172
1137,128,-2,-2,172
1135,126,-2,-2,169
1133,124,-2,-2,169
1131,122,-2,-2,169
1129,120,-2,-2,163
1127,118,-2,-2,163
1125,116,-2,-2,163
1123,114,-2,-2,159
1121,112,-2,-2,159
1119,110,-2,-2,155
1117,108,-2,-2,155
1115,106,-2,-2,155
1113,104,-2,-2,152
1111,102,-2,-2,152
1109,100,-2,-2,149
1107,98,-2,-2,149
1105,96,-2,-2,149
1103,94,-2,-2,147
1101,92,-2,-2,147
1099,90,-2,-2,147
1097,88,-2,-2,144
1095,86,-2,-2,144
1093,84,-2,-2,143
1091,82,-2,-2,143
1089,80,-2,-2,143
1087,78,-2,-2,143
1085,76,-2,-2,143
1083,74,-2,-2,143
1081,72,-2,-2,143
1079,70,-2,-2,143
1077,68,-2,-2,141
1075,66,-2,-2,141
1073,64,-2,-2,141
1071,62,-2,-2,141
1069,60,-2,-2,141
1067,58,-2,-2,141
1065,56,-2,-2,141
1063,54,-2,-2,141
1061,52,-2,-2,141
1059,50,-2,-2,141
1057,48,-2,-2,141
1055,46,-2,-2,141
1053,44,-2,-2,141
1051,42,-2,-2,141
1049,40,-2,-2,140
1047,38,-2,-2,140
1045,36,-2,-2,140
1043,38,-2,2,140
1041,40,-2,2,140
1039,42,-2,2,140
1037,44,-2,2,140
1035,46,-2,2,140
1033,48,-2,2,140
1031,50,-2,2,140
1029,52,-2,2,140
1027,54,-2,2,140
1025,56,-2,2,140
1023,58,-2,2,140
1021,60,-2,2,140
1019,62,-2,2,140
1017,64,-2,2,140
1015,66,-2,2,140
1013,68,-2,2,140
1011,70,-2,2,140
1009,72,-2,2,140
1007,74,-2,2,140
1005,76,-2,2,140
1003,78,-2,2,140
1001,80,-2,2,140
999,82,-2,2,140
997,84,-2,2,140
995,86,-2,2,140
993,88,-2,2,140
991,90,-2,2,140
989,92,-2,2,140
987,94,-2,2,140
985,96,-2,2,140
983,98,-2,2,140
981,100,-2,2,140
979,102,-2,2,140
977,104,-2,2,140
975,106,-2,2,140
973,108,-2,2,140
971,110,-2,2,140
969,112,-2,2,140
967,114,-2,2,140
965,116,-2,2,140
963,118,-2,2,140
961,120,-2,2,140
959,122,-2,2,140
957,124,-2,2,140
955,126,-2,2,140
953,128,-2,2,140
951,130,-2,2,140
949,132,-2,2,140
947,134,-2,2,140
945,136,-2,2,140
